Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
 Avenue de Conthe,2.0,15000,15000012,44.91394,2.42741,SP95,AURILLAC,1.5910526315789473,150140113,15014,H,0,1,1944.67913218108
 Avenue de Conthe,3.0,15000,15000012,44.91394,2.42741,E85,AURILLAC,0.65,150140113,15014,H,0,1,1944.67913218108
 Avenue de Conthe,4.0,15000,15000012,44.91394,2.42741,GPLc,AURILLAC,0.85,150140113,15014,H,0,1,1944.67913218108
 Avenue de Conthe,6.0,15000,15000012,44.91394,2.42741,SP98,AURILLAC,1.648,150140113,15014,H,0,1,1944.67913218108
87 Avenue Charles de Gaulle,1.0,15000,15004001,44.9091521744,2.42441831845,Gazole,AURILLAC,1.4074444444444445,150140113,15014,H,0,1,1944.67913218108
87 Avenue Charles de Gaulle,4.0,15000,15004001,44.9091521744,2.42441831845,GPLc,AURILLAC,0.9641428571428572,150140113,15014,H,0,1,1944.67913218108
87 Avenue Charles de Gaulle,5.0,15000,15004001,44.9091521744,2.42441831845,E10,AURILLAC,1.4488800000000002,150140113,15014,H,0,1,1944.67913218108
87 Avenue Charles de Gaulle,6.0,15000,15004001,44.9091521744,2.42441831845,SP98,AURILLAC,1.5368695652173912,150140113,15014,H,0,1,1944.67913218108
ROUTE DE SANSAC,1.0,15000,15000016,44.907979000000005,2.421297,Gazole,AURILLAC,1.4207094017094015,150140113,15014,H,0,1,1944.67913218108
ROUTE DE SANSAC,5.0,15000,15000016,44.907979000000005,2.421297,E10,AURILLAC,1.4521392045454544,150140113,15014,H,0,1,1944.67913218108
ROUTE DE SANSAC,6.0,15000,15000016,44.907979000000005,2.421297,SP98,AURILLAC,1.5565882352941176,150140113,15014,H,0,1,1944.67913218108
 Avenue de Domont,1.0,95160,95160003,49.00536,2.31694,Gazole,MONTMORENCY,1.433085714285714,954280303,95428,H,0,1,2194.45965125355
 Avenue de Domont,5.0,95160,95160003,49.00536,2.31694,E10,MONTMORENCY,1.4537352941176471,954280303,95428,H,0,1,2194.45965125355
 Avenue de Domont,6.0,95160,95160003,49.00536,2.31694,SP98,MONTMORENCY,1.5221323529411763,954280303,95428,H,0,1,2194.45965125355
 Avenue de Fontainebleau,1.0,94270,94270005,48.81193,2.3618,Gazole,LE KREMLIN-BICêTRE,1.4764430379746836,940430101,94043,H,0,1,2278.62130602204
 Avenue de Fontainebleau,5.0,94270,94270005,48.81193,2.3618,E10,LE KREMLIN-BICêTRE,1.5045833333333332,940430101,94043,H,0,1,2278.62130602204
 Avenue de Fontainebleau,6.0,94270,94270005,48.81193,2.3618,SP98,LE KREMLIN-BICêTRE,1.595592356687898,940430101,94043,H,0,1,2278.62130602204
 Avenue de Limoges,1.0,87270,87270002,45.85841,1.24292,Gazole,COUZEIX,1.4304054054054054,870500103,87050,H,0,4,4862.53681409789
 Avenue de Limoges,2.0,87270,87270002,45.85841,1.24292,SP95,COUZEIX,1.0,870500103,87050,H,0,4,4862.53681409789
 Avenue de Limoges,5.0,87270,87270002,45.85841,1.24292,E10,COUZEIX,1.4864933333333334,870500103,87050,H,0,4,4862.53681409789
 Avenue de Limoges,6.0,87270,87270002,45.85841,1.24292,SP98,COUZEIX,1.5668692810457516,870500103,87050,H,0,4,4862.53681409789
 Avenue de Monpazier,1.0,24440,24440001,44.75917,0.77159,Gazole,BEAUMONT-DU-PéRIGORD,1.4259571428571427,240280000,24028,Z,0,5,1842.0
 Avenue de Monpazier,2.0,24440,24440001,44.75917,0.77159,SP95,BEAUMONT-DU-PéRIGORD,1.5063387096774192,240280000,24028,Z,0,5,1842.0
 Avenue de Monpazier,6.0,24440,24440001,44.75917,0.77159,SP98,BEAUMONT-DU-PéRIGORD,1.5353454545454546,240280000,24028,Z,0,5,1842.0
 Avenue de Normandie,1.0,35420,35420001,48.48963,-1.11317,Gazole,LOUVIGNé-DU-DéSERT,1.4082580645161291,351620000,35162,Z,0,5,3340.0
 Avenue de Normandie,2.0,35420,35420001,48.48963,-1.11317,SP95,LOUVIGNé-DU-DéSERT,1.5067142857142857,351620000,35162,Z,0,5,3340.0
 Avenue de Normandie,6.0,35420,35420001,48.48963,-1.11317,SP98,LOUVIGNé-DU-DéSERT,1.5637916666666667,351620000,35162,Z,0,5,3340.0
 Avenue de Paris,1.0,89470,89470001,47.84863,3.56359,Gazole,MONéTEAU,1.4255375,892630000,89263,Z,0,5,4125.0
 Avenue de Paris,4.0,89470,89470001,47.84863,3.56359,GPLc,MONéTEAU,0.785,892630000,89263,Z,0,5,4125.0
 Avenue de Paris,5.0,89470,89470001,47.84863,3.56359,E10,MONéTEAU,1.4811190476190477,892630000,89263,Z,0,5,4125.0
 Avenue de Paris,6.0,89470,89470001,47.84863,3.56359,SP98,MONéTEAU,1.5647567567567566,892630000,89263,Z,0,5,4125.0
ROUTE DE PARIS RN 6,1.0,89470,89470004,47.84564198,3.54990253,Gazole,MONETEAU,1.426811046511628,892630000,89263,Z,0,5,4125.0
ROUTE DE PARIS RN 6,3.0,89470,89470004,47.84564198,3.54990253,E85,MONETEAU,0.7341764705882352,892630000,89263,Z,0,5,4125.0
ROUTE DE PARIS RN 6,5.0,89470,89470004,47.84564198,3.54990253,E10,MONETEAU,1.4659540229885055,892630000,89263,Z,0,5,4125.0
ROUTE DE PARIS RN 6,6.0,89470,89470004,47.84564198,3.54990253,SP98,MONETEAU,1.5633843930635838,892630000,89263,Z,0,5,4125.0
 Avenue de Provence,1.0,5000,5000010,44.53367,6.04957,Gazole,GAP,1.4437220543806648,050610116,5061,H,0,1,2609.14002347936
 Avenue de Provence,5.0,5000,5000010,44.53367,6.04957,E10,GAP,1.4714833836858006,050610116,5061,H,0,1,2609.14002347936
 Avenue de Provence,6.0,5000,5000010,44.53367,6.04957,SP98,GAP,1.5551132930513596,050610116,5061,H,0,1,2609.14002347936
